* Measurement data measured by REW V5.30 beta 4
* Source: Mikrofon (US-2x2 HR), MICROPHONE (Hauptlautstärke), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -8,0 dBFS with no timing reference
* Dated: 17.12.2023 18:47:08
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Moondrop Aria 2 R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
14500.000000	64.798	-165.0797
14750.000000	64.473	-164.3427
15000.000000	64.250	-162.9652
15250.000000	64.172	-161.3638
15500.000000	64.244	-160.0704
15750.000000	64.427	-159.6133
16000.000000	64.638	-160.3581
16250.000000	64.774	-162.4299
16500.000000	64.728	-165.7237
16750.000000	64.383	-169.8612
17000.000000	63.603	-173.7488
17250.000000	62.293	-174.1160
17500.000000	60.767	-165.5404
17750.000000	59.848	-151.9735
18000.000000	59.626	-143.3949
18250.000000	59.585	-139.0345
18500.000000	59.498	-136.0338
18750.000000	59.373	-133.3367
19000.000000	59.272	-130.9156
19250.000000	59.240	-129.0974
19500.000000	59.279	-128.1671
19750.000000	59.347	-128.0322
