* Measurement data measured by REW V5.20.13
* Source: Headset Microphone (Realtek(R) Audio), MICROPHONE (Hauptlautstärke), L, volume: 1,000
* Format: 256k Log Swept Sine, 1 sweep at -8,0 dBFS with no timing reference
* Dated: 28.06.2023 14:22:57
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: ej07 r
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1800.000000	115.151	27.4964
1825.000000	115.244	27.1463
1850.000000	115.337	26.7860
1875.000000	115.429	26.4118
1900.000000	115.522	26.0203
1925.000000	115.616	25.6075
1950.000000	115.711	25.1713
1975.000000	115.805	24.7094
2000.000000	115.897	24.2174
2030.000000	116.005	23.5844
2060.000000	116.107	22.9109
2090.000000	116.205	22.2032
2120.000000	116.297	21.4653
2140.000000	116.355	20.9583
2180.000000	116.464	19.9127
2200.000000	116.514	19.3753
2240.000000	116.608	18.2743
2270.000000	116.670	17.4280
2300.000000	116.726	16.5657
2330.000000	116.774	15.6889
2360.000000	116.816	14.7995
2400.000000	116.861	13.6016
2430.000000	116.887	12.7001
2470.000000	116.912	11.4972
2500.000000	116.922	10.5959
2540.000000	116.925	9.4007
2580.000000	116.916	8.2212
2620.000000	116.894	7.0646
2650.000000	116.871	6.2154
2690.000000	116.831	5.1125
2720.000000	116.794	4.3130
2760.000000	116.735	3.2927
2800.000000	116.666	2.3347
2850.000000	116.569	1.2446
2900.000000	116.463	0.2986
2950.000000	116.353	-0.4816
3000.000000	116.250	-1.0808
3040.000000	116.183	-1.4416
3070.000000	116.145	-1.6687
3110.000000	116.116	-1.9666
3150.000000	116.109	-2.3301
3200.000000	116.119	-2.9738
3250.000000	116.127	-3.8618
3300.000000	116.116	-4.9267
3350.000000	116.079	-6.0533
3400.000000	116.019	-7.1492
3450.000000	115.944	-8.1694
3500.000000	115.865	-9.1072
3550.000000	115.785	-9.9784
3600.000000	115.708	-10.8092
3650.000000	115.635	-11.6221
3700.000000	115.566	-12.4303
3750.000000	115.501	-13.2401
3820.000000	115.416	-14.3905
3870.000000	115.359	-15.2373
3950.000000	115.274	-16.6699
4000.000000	115.224	-17.6348
4060.000000	115.165	-18.8817
4120.000000	115.101	-20.2345
4180.000000	115.029	-21.6937
4250.000000	114.926	-23.5117
4310.000000	114.817	-25.1313
4370.000000	114.687	-26.7666
4440.000000	114.512	-28.6549
4500.000000	114.345	-30.2395
4550.000000	114.195	-31.5341
4620.000000	113.970	-33.3086
4680.000000	113.763	-34.7910
4750.000000	113.504	-36.4572
4820.000000	113.225	-38.0283
4870.000000	113.013	-39.0790
4940.000000	112.700	-40.4334
5000.000000	112.417	-41.4729
5080.000000	112.021	-42.6607
5150.000000	111.657	-43.4811
5220.000000	111.280	-44.0521
5300.000000	110.841	-44.3467
5380.000000	110.404	-44.2340
5450.000000	110.037	-43.8155
5520.000000	109.694	-43.1339
5600.000000	109.339	-42.0889
5700.000000	108.951	-40.4727
5800.000000	108.622	-38.5943
5900.000000	108.352	-36.5004
6000.000000	108.143	-34.2153
6080.000000	108.022	-32.2699
6150.000000	107.948	-30.4961
6220.000000	107.906	-28.6638
6300.000000	107.899	-26.5109
6400.000000	107.952	-23.7631
6500.000000	108.078	-20.9947
6600.000000	108.280	-18.2497
6700.000000	108.564	-15.5813
6800.000000	108.934	-13.0590
6900.000000	109.397	-10.7680
7000.000000	109.958	-8.8091
7100.000000	110.620	-7.3154
7200.000000	111.377	-6.4721
7300.000000	112.213	-6.5204
7400.000000	113.095	-7.7442
7500.000000	113.964	-10.4379
7620.000000	114.887	-15.9031
7750.000000	115.586	-24.4720
7880.000000	115.836	-34.8026
8000.000000	115.632	-44.3965
8120.000000	115.058	-52.6823
8250.000000	114.144	-59.3519
8380.000000	113.082	-63.5788
8500.000000	112.084	-65.7131
8620.000000	111.141	-66.6353
8750.000000	110.219	-66.7552
8850.000000	109.585	-66.4818
9000.000000	108.741	-65.7819
9120.000000	108.131	-65.1055
9250.000000	107.507	-64.2764
9380.000000	106.897	-63.2683
9500.000000	106.338	-62.0613
9620.000000	105.787	-60.4772
9750.000000	105.220	-58.2703
9880.000000	104.718	-55.5928
10000.000000	104.341	-52.8410
10150.000000	104.009	-49.3231
10300.000000	103.823	-46.0931
10440.000000	103.743	-43.6159
10600.000000	103.698	-41.5672
10750.000000	103.638	-40.3480
10900.000000	103.514	-39.5927
11060.000000	103.282	-38.9547
11200.000000	102.992	-38.2425
11380.000000	102.516	-36.7690
11500.000000	102.151	-35.3113
11720.000000	101.431	-31.5220
11800.000000	101.165	-29.7886
12060.000000	100.337	-22.9779
12200.000000	99.936	-18.6665
12410.000000	99.418	-11.5328
12500.000000	99.232	-8.2759
12650.000000	98.972	-2.6413
12800.000000	98.779	3.1909
13150.000000	98.605	17.2000
13200.000000	98.613	19.2143
13400.000000	98.731	27.2284
13600.000000	98.993	35.0888
13800.000000	99.406	42.6735
14000.000000	99.987	49.8458
14300.000000	101.208	59.4422
14500.000000	102.264	64.6740
14750.000000	103.806	69.1539
15000.000000	105.435	70.3087
15250.000000	106.892	67.2080
15500.000000	107.923	59.9589
15750.000000	108.369	50.2052
16000.000000	108.206	40.5398
16250.000000	107.549	33.2011
16500.000000	106.600	29.0673
16750.000000	105.571	27.7421
17000.000000	104.616	28.2391
17250.000000	103.799	29.5384
17500.000000	103.099	30.8589
17750.000000	102.440	31.7669
18000.000000	101.732	32.2039
18250.000000	100.898	32.4441
18500.000000	99.891	32.9724
18750.000000	98.706	34.2707
19000.000000	97.372	36.5862
19250.000000	95.954	39.7708
19500.000000	94.551	43.2601
19750.000000	93.320	46.2471
