* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset Microphone (Realtek(R) Audio), MICROPHONE (Hauptlautstärke), L, volume: 1,000
* Format: 256k Log Swept Sine, 1 sweep at -8,0 dBFS with no timing reference
* Dated: 21.07.2023 14:38:20
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Bowie Fashion EQ
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
7000.000000	98.806	151.7145
7100.000000	99.056	154.7927
7200.000000	99.392	157.7606
7300.000000	99.821	160.5253
7400.000000	100.346	162.9699
7500.000000	100.965	164.9687
7620.000000	101.827	166.5765
7750.000000	102.885	166.9612
7880.000000	104.004	165.3408
8000.000000	104.974	161.4948
8120.000000	105.739	155.1152
8250.000000	106.174	145.8130
8380.000000	106.094	135.5571
8500.000000	105.565	127.0205
8620.000000	104.684	120.6320
8750.000000	103.481	116.6131
8850.000000	102.480	115.4189
9000.000000	100.997	116.0606
9120.000000	99.903	118.1065
9250.000000	98.849	121.3633
9380.000000	97.941	125.3564
9500.000000	97.225	129.4885
9620.000000	96.618	133.9177
9750.000000	96.072	138.9339
9880.000000	95.631	144.0557
10000.000000	95.302	148.7973
10150.000000	94.974	154.7153
10300.000000	94.729	160.6487
10440.000000	94.583	166.1568
10600.000000	94.516	172.2150
10750.000000	94.520	177.4977
10900.000000	94.556	-177.6069
11060.000000	94.607	-172.7054
11200.000000	94.656	-168.6041
11380.000000	94.725	-163.5532
11500.000000	94.773	-160.3332
11720.000000	94.849	-154.6620
11800.000000	94.873	-152.6308
12060.000000	94.971	-146.0763
12200.000000	95.049	-142.7350
12410.000000	95.156	-138.3007
12500.000000	95.177	-136.5815
12650.000000	95.163	-133.7411
12800.000000	95.106	-130.6938
13150.000000	95.017	-122.8600
13200.000000	95.015	-121.7752
13400.000000	95.006	-117.6997
13600.000000	94.956	-113.8480
13800.000000	94.873	-109.9022
14000.000000	94.804	-105.8105
14300.000000	94.778	-99.8497
14500.000000	94.815	-96.1553
14750.000000	95.003	-91.8660
15000.000000	95.517	-89.1627
15250.000000	96.371	-91.4669
15500.000000	97.274	-104.1625
15750.000000	97.732	-131.3427
16000.000000	97.317	-169.9647
16250.000000	95.883	148.5657
16500.000000	93.597	110.5362
16750.000000	90.813	76.7618
17000.000000	87.953	44.8567
17250.000000	85.387	12.3662
17500.000000	83.148	-20.2171
17750.000000	80.888	-48.2144
18000.000000	78.554	-68.3481
18250.000000	76.841	-83.8456
18500.000000	76.367	-99.1530
18750.000000	76.836	-115.6283
19000.000000	77.719	-132.8582
19250.000000	78.734	-150.1426
19500.000000	79.719	-166.4711
19750.000000	80.512	-179.9919
